SiteID,SiteName,AnnualFrequency
262313080044401,PB -1457,GWL/12
262209080044702,PB -1669,GWL/12
261100080140401,G  -1212,GWL/12
261122080083401,G  -1232,GWL/12
260547080105801,G  -2352,GWL/12
260920080092201,G  -2898,GWL/12
260551080111901,G  -2957,GWL/4
261740080054101,G  -2893,GWL/4
260041080093101,G  -2425,GWL/12
260041080093102,G  -2426,GWL/12
260120080093401,G  -2441,GWL/12
260155080092002,G  -2612,GWL/12
260026080095801,G  -2956,GWL/4
260040080100801,G  -4002,GWL/12
260059080091501,G  -4003,GWL/12
260101080100801,G  -4004,GWL/12
260224080103401,G  -4005,GWL/12
252601080211601,G  -3932 / TPGW-1,GWL/1
252254080221101,G  -3933 / TPGW-2,GWL/1
252042080205201,G  -3934 / TPGW-3,GWL/1
252212080244401,G  -3935 / TPGW-4,GWL/1
252524080241301,G  -3936 / TPGW-5,GWL/1
252720080231301,G  -3937 / TPGW-6,GWL/1
252603080254101,G  -3938 / TPGW-7,GWL/1
252436080270901,G  -3939 / TPGW-8,GWL/1
252229080284201,G  -3940 / TPGW-9,GWL/1
252627080192901,G  -3941 / TPGW-10,GWL/1
252349080181501,G  -3942 / TPGW-11,GWL/1
252655080202301,G  -3943 / TPGW-12,GWL/1
252339080210701,G  -3944 / TPGW-13,GWL/1
252116080193501,G  -3945 / TPGW-14,GWL/1
252557080210201,G  -3974 / TPGW-15,GWL/1
252238080195401,G  -3975 / TPGW-16,GWL/1
254841080164401,G  - 571,GWL/12
255350080105801,G  - 894,GWL/12
254107080165201,G  - 896,GWL/12
254201080173001,G  - 901,GWL/12
254106080174601,G  -1009B,GWL/12
252947080235301,G  -1180,GWL/12
254940080172001,G  -1282,GWL/12
254813080161501,G  -1351,GWL/12
254833080155801,G  -1354,GWL/12
255222080123001,G  -3224,GWL/12
254457080160301,G  -3229,GWL/12
254946080172601,G  -3250,GWL/12
255358080114101,G  -3601D,GWL/6
254722080152201,G  -3604,GWL/4
254629080143101,G  -3605,GWL/4
254156080172101,G  -3607,GWL/12
252814080244101,G  -3698,GWL/4
252652080244301,G  -3699,GWL/4
252650080252701,G  -3855,GWL/12
253253080221201,G  -3885,GWL/12
253527080195401,G  -3886,GWL/12
253924080174601,G  -3887A,GWL/12
253924080174602,G  -3887B,GWL/12
254542080145901,G  -3888A,GWL/12
254542080145902,G  -3888B,GWL/12
254542080145903,G  -3888C,GWL/12
252431080261001,G  -3946D,GWL/12
252431080261002,G  -3946S,GWL/12
255011080124501,G  -3947,GWL/12
255515080103601,G  -3948D,GWL/12
255515080103602,G  -3948S,GWL/12
255733080195601,G  -3949D,GWL/12
255733080195602,G  -3949I,GWL/4
255733080195603,G  -3949S,GWL/4
254824080155301,G  -3964,GWL/4
254500080162801,G  -3965,GWL/4
252719080253601,G  -3966D,GWL/12
252719080253602,G  -3966S,GWL/12
252714080260901,G-3976,GWL/12
254601080150301,G-3977D,GWL/4
254601080150302,G-3977S,GWL/4
255453080110801,G-3978,GWL/4
255315080111501,F  - 279,GWL/12
254828080161501,G  - 354,GWL/12
254335080170501,G  - 432,GWL/12
254855080163701,G  - 548,GWL/12
253652080183701,G  - 939,GWL/12
253202080232601,G  -3162,GWL/12
253831080180204,G  -3313C,GWL/12
254908080125201,G  -3603,GWL/2
254341080174001,G  -3606,GWL/4
253024080231001,G  -3615,GWL/4
262521081161901,C  - 131,GWL/6
262505081245301,C  - 258,GWL/6
262507081235201,C  - 298,GWL/6
255430081221001,C  - 311,GWL/6
261302081473901,C  - 489,GWL/6
261243081480301,C  - 490,GWL/6
261156081475801,C  - 516,GWL/6
261018081484101,C  - 526,GWL/6
261200081483001,C  - 528,GWL/6
261438081481001,C  - 575,GWL/6
260549081441901,C  - 600,GWL/6
261740081235401,C  - 684,GWL/6
261740081235402,C  - 689,GWL/6
262136081204202,C  - 965,GWL/6
262136081204201,C  - 966,GWL/6
260941081324201,C  - 974,GWL/6
260915081385901,C  - 976,GWL/6
260915081385902,C  - 977,GWL/6
261733081285501,C  - 984,GWL/6
261733081285503,C  - 985,GWL/6
261200081204901,C  - 986,GWL/6
261733081285502,C  - 989,GWL/6
255703081213801,C  - 995,GWL/6
261604081480901,C  -1059,GWL/6
261311081480101,C  -1061,GWL/6
260925081475101,C  -1062,GWL/6
260137081375902,C  -1064,GWL/6
260314081323103,C  -1067R,GWL/6
260314081323104,C  -1068R,GWL/6
262519081162102,C  -1074,GWL/6
262822081213203,C  -1077,GWL/6
262558081270501,C  -1078,GWL/6
262228081361902,C  -1080,GWL/6
261802081354802,C  -1097,GWL/6
261023081463702,C  -1100,GWL/6
261403080070801,G  -2149,GWL/4
260342080115902,G  -2264,GWL/4
261446080062801,G  -2445,GWL/4
261724080054603,G  -2693,GWL/4
260242080101101,G  -2697,GWL/4
261643080055901,G  -2752,GWL/4
261740080054101,G  -2893,GWL/1
261304080072501,G  -2896,GWL/4
261030080083301,G  -2897,GWL/4
260804080092701,G  -2899,GWL/4
260638080104801,G  -2902,GWL/4
255843080090901,G  -2903,GWL/4
260534080110801,G  -2904,GWL/4
253831080180206,G  -3313E,GWL/4
255116080120601,G  -3602,GWL/4
254108080170601,G  -3608,GWL/4
